the_geom,SCHOOL_ID,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.78351523288265 41.93563358725084),609732,STEINMETZ COLLEGE PREP HS,"3030 N Mobile Ave, 60634",HS,"9, 10, 11, 12",District,-87.78351523,41.93563359
POINT (-87.66919214534073 42.002687558010145),609733,SULLIVAN HS,"6631 N Bosworth Ave, 60626",HS,"9, 10, 11, 12",District,-87.66919215,42.00268756
POINT (-87.79154724941422 41.98296098619859),609734,TAFT HS,"6530 W Bryn Mawr Ave, 60631",HS,"7, 8, 9, 10, 11, 12",District,-87.79154725,41.98296099
POINT (-87.64296648354815 41.80751007096626),609735,TILDEN HS,"4747 S Union Ave, 60609",HS,"9, 10, 11, 12",District,-87.64296648,41.80751007
POINT (-87.6119307278617 41.80207723336637),609736,DYETT HS,"555 E 51st St, 60615",HS,12,District,-87.61193073,41.80207723
POINT (-87.71338625328654 41.97318504807329),609737,VON STEUBEN HS,"5039 N Kimball Ave, 60625",HS,"9, 10, 11, 12",District,-87.71338625,41.97318505
POINT (-87.64600935976243 41.91826831075271),609738,LINCOLN PARK HS,"2001 N Orchard St, 60614",HS,"9, 10, 11, 12",District,-87.64600936,41.91826831
POINT (-87.53757030027741 41.688136935625785),609739,WASHINGTON HS,"3535 E 114th St, 60617",HS,"9, 10, 11, 12",District,-87.5375703,41.68813694
POINT (-87.66748286896365 41.89899470698043),609740,WELLS HS,"936 N Ashland Ave, 60622",HS,"9, 10, 11, 12",District,-87.66748287,41.89899471
POINT (-87.71801374323086 41.780526386627955),609741,HUBBARD HS,"6200 S Hamlin Ave, 60629",HS,"9, 10, 11, 12",District,-87.71801374,41.78052639
POINT (-87.72238621544285 41.98297252121619),609744,NORTHSIDE LEARNING HS,"3730 W Bryn Mawr Ave, 60659",HS,"9, 10, 11, 12",District,-87.72238622,41.98297252
POINT (-87.67594676756123 41.75985242841147),609745,SOUTHSIDE HS,"7342 S Hoyne Ave, 60636",HS,12,District,-87.67594677,41.75985243
POINT (-87.59042088945237 41.803772118508014),609746,KENWOOD HS,"5015 S Blackstone Ave, 60615",HS,"7, 8, 9, 10, 11, 12",District,-87.59042089,41.80377212
POINT (-87.6952610158806 41.84253334794401),609748,YORK HS,"2700 S California Ave, 60608",HS,"9, 10, 11, 12",District,-87.69526102,41.84253335
POINT (-87.70870780077357 41.98131528213096),609749,NORTHSIDE PREP HS,"5501 N Kedzie Ave, 60625",HS,"9, 10, 11, 12",District,-87.7087078,41.98131528
POINT (-87.6687222293137 41.86436548208224),609750,SIMPSON HS,"1321 S Paulina St, 60608",HS,"7, 8, 9, 10, 11, 12",District,-87.66872223,41.86436548
POINT (-87.60387386164147 41.81367545211025),609751,KING HS,"4445 S Drexel Blvd, 60653",HS,"9, 10, 11, 12",District,-87.60387386,41.81367545
POINT (-87.71776967268775 41.69122074178622),609753,CHGO AG HS,"3857 W 111th St, 60655",HS,"9, 10, 11, 12",District,-87.71776967,41.69122074
POINT (-87.61921554223582 41.83055497708962),609754,CHGO MILITARY ACAD HS,"3519 S Giles Ave, 60653",HS,"9, 10, 11, 12",District,-87.61921554,41.83055498
POINT (-87.6642333434002 41.878602532328486),609755,YOUNG HS,"211 S Laflin St, 60607",HS,"7, 8, 9, 10, 11, 12",District,-87.66423334,41.87860253
POINT (-87.72204165467807 41.803060206697396),609756,CURIE HS,"4959 S Archer Ave, 60632",HS,"9, 10, 11, 12",District,-87.72204165,41.80306021
POINT (-87.68690614585311 41.9026257915793),609759,CLEMENTE HS,"1147 N Western Ave, 60622",HS,"9, 10, 11, 12",District,-87.68690615,41.90262579
POINT (-87.59062038515513 41.65628995142258),609760,CARVER MILITARY,"13100 S Doty Ave, 60627",HS,"9, 10, 11, 12",District,-87.59062038,41.65628995
POINT (-87.60121587665988 41.70665961641773),609761,CORLISS HS,"821 E 103rd St, 60628",HS,"9, 10, 11, 12",District,-87.60121588,41.70665962
POINT (-87.65374921077066 41.705858935588914),609762,JULIAN HS,"10330 S Elizabeth St, 60643",HS,"9, 10, 11, 12",District,-87.65374921,41.70585894
POINT (-87.66373244610855 41.85266659923651),609764,JUAREZ HS,"2150 S Laflin St, 60608",HS,"9, 10, 11, 12",District,-87.66373245,41.8526666
POINT (-87.76466317336318 41.960363795857305),609766,VAUGHN HS,"4355 N Linder Ave, 60641",HS,"9, 10",District,-87.76466317,41.9603638
POINT (-87.64124410920577 41.793553466470584),609768,HOPE PREP HS,"5515 S Lowe Ave, 60621",HS,"9, 10, 11, 12",District,-87.64124411,41.79355347
POINT (-87.62531481527424 41.84967541708467),609769,"GRAHAM,R HS","2347 S Wabash Ave, 60616",HS,"9, 10, 11, 12",District,-87.62531482,41.84967542
POINT (-87.53297604181783 41.69873879907316),609772,ADDAMS,"10810 S Avenue H, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.53297604,41.6987388
POINT (-87.65622866744738 41.93412629749406),609773,AGASSIZ,"2851 N Seminary Ave, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65622867,41.9341263
POINT (-87.65065315649788 41.83385390882868),609777,ARMOUR,"950 W 33rd Pl, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65065316,41.83385391
POINT (-87.6844418273605 42.01014998373587),609779,"ARMSTRONG, G","2110 W Greenleaf Ave, 60645",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68444183,42.01014998
POINT (-87.72174231678147 41.91604463306548),609780,MARINE ACAD AT AMES,"1920 N Hamlin Ave, 60647",HS,"7, 8, 9, 10, 11, 12",District,-87.72174232,41.91604463
POINT (-87.62578338561836 41.802112605750715),609781,ATTUCKS,"5055 S State St, 60609",ES,"2, 3, 4, 5, 6, 7, 8",District,-87.62578339,41.80211261
POINT (-87.68104105313787 41.94506222430422),609782,AUDUBON,"3500 N Hoyne Ave, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68104105,41.94506223
POINT (-87.68041755457105 41.867832284629486),609783,JEFFERSON ALT HS,"1100 S Hamilton Ave, 60612",HS,"6, 7, 8, 9, 10, 11, 12",District,-87.68041756,41.86783229
POINT (-87.59165381085134 41.74824699397219),609786,AVALON PARK,"8045 S Kenwood Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.59165381,41.74824699
POINT (-87.65807422406259 41.705131011309035),609788,BARNARD,"10354 S Charles St, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65807422,41.70513101
POINT (-87.73938835103296 41.93251058278424),609789,BARRY,"2828 N Kilbourn Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.73938835,41.93251058
POINT (-87.67092712872531 41.75419384978611),609790,BARTON,"7650 S Wolcott Ave, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67092713,41.75419385
POINT (-87.65353242019691 41.77424645004429),609791,BASS,"1140 W 66th St, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65353242,41.77424645
POINT (-87.70215096179008 41.95821983888024),609792,BATEMAN,"4220 N Richmond St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70215096,41.95821984
POINT (-87.64745284245632 41.78494237979363),609793,NICHOLSON TECH ACAD,"6006 S Peoria St, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.64745284,41.78494238
POINT (-87.70930366577336 41.97150609649997),609794,"EDISON, T","4929 N Sawyer Ave, 60625",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70930367,41.9715061
POINT (-87.77041752738367 41.867812567517284),609795,"CLARK, G","1045 S Monitor Ave, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.77041753,41.86781257
POINT (-87.75756503918218 41.97239394466906),609796,BEAUBIEN,"5025 N Laramie Ave, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.75756504,41.97239395
POINT (-87.70585481200737 41.885321039474746),609797,BEIDLER,"3151 W Walnut St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70585481,41.88532104
POINT (-87.73401972967199 41.95893849363402),609798,BELDING,"4257 N Tripp Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.73401973,41.95893849
POINT (-87.68601824433433 41.9495297982333),609799,BELL,"3730 N Oakley Ave, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68601824,41.9495298
POINT (-87.61739045570121 41.71043494844108),609800,BENNETT,"10115 S Prairie Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.61739046,41.71043495
POINT (-87.66496784467402 41.95078051805864),609803,BLAINE,"1420 W Grace St, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.66496784,41.95078052
POINT (-87.69746282205826 42.00341160727272),609804,BOONE,"6710 N Washtenaw Ave, 60645",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.69746282,42.00341161
POINT (-87.66936564961709 41.74933916080359),609805,JOPLIN,"7931 S Honore St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.66936565,41.74933916
POINT (-87.5571419710349 41.754365131246374),609806,BRADWELL,"7736 S Burnham Ave, 60649",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.55714197,41.75436513
POINT (-87.70873128447809 41.75345719265228),609807,HAMPTON,"3434 W 77th St, 60652",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70873128,41.75345719
POINT (-87.63363213619498 41.686659969507105),609808,HALEY,"11411 S Eggleston Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.63363214,41.68665997
POINT (-87.69629419836866 41.9309660958041),609809,BRENTANO,"2723 N Fairfield Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6962942,41.9309661
POINT (-87.79866892056614 41.94911438626606),609810,BRIDGE,"3800 N New England Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.79866892,41.94911439
POINT (-87.56208422999353 41.699726221063116),609811,BRIGHT,"10740 S Calhoun Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.56208423,41.69972622
POINT (-87.67068239048238 41.88299678413438),609812,"BROWN, W","54 N Hermitage Ave, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67068239,41.88299678
POINT (-87.62174596836614 41.77162035907393),609813,BROWNELL,"6741 S Michigan Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.62174597,41.77162036
POINT (-87.57607485712315 41.76084747994678),609815,BOUCHET,"7355 S Jeffery Blvd, 60649",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.57607486,41.76084748
POINT (-87.69655603218193 41.97575432973367),609817,BUDLONG,"2701 W Foster Ave, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.69655603,41.97575433
POINT (-87.78269957086374 41.91759813746918),609818,BURBANK,"2035 N Mobile Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.78269957,41.91759814
POINT (-87.6161405235956 41.79675956372592),609819,BURKE,"5356 S King Dr, 60615",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.61614052,41.79675956
POINT (-87.66985312412211 41.937937473581265),609820,BURLEY,"1630 W Barry Ave, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.66985312,41.93793747
POINT (-87.56713059136543 41.71440206175561),609821,BURNHAM,"9928 S Crandon Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.56713059,41.71440206
POINT (-87.71492701415002 41.84544987856497),609826,CASTELLANOS,"2524 S Central Park Ave, 60623",ES,"4, 5, 6, 7, 8",District,-87.71492701,41.84544988
POINT (-87.60743532128883 41.72848063790991),609827,BURNSIDE,"650 E 91st Pl, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.60743532,41.72848064
POINT (-87.66866060377357 41.912357907271925),609828,BURR,"1621 W Wabansia Ave, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6686606,41.91235791
POINT (-87.69245662922816 41.82886790652319),609829,BURROUGHS,"3542 S Washtenaw Ave, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.69245663,41.82886791
POINT (-87.76560565853956 41.89766257161412),609830,BRUNSON,"932 N Central Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.76560566,41.89766257
POINT (-87.7915444826982 41.79503096443681),609832,BYRNE,"5329 S Oak Park Ave, 60638",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.79154448,41.79503097
POINT (-87.58072902767272 41.73922635448458),609833,CALDWELL,"8546 S Cregier Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.58072903,41.73922636
POINT (-87.71731895269359 41.84369811757608),609834,LITTLE VILLAGE,"2620 S Lawndale Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.71731895,41.84369812
POINT (-87.71792663520327 41.90379211711643),609835,CAMERON,"1234 N Monticello Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.71792664,41.90379212
POINT (-87.8292957010156 41.948007027273874),609836,CANTY,"3740 N Panama Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.8292957,41.94800703
POINT (-87.59079500925881 41.78336832270084),609837,CARNEGIE,"1414 E 61st Pl, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.59079501,41.78336832
POINT (-87.69601207513412 41.742516625773),609839,CARROLL,"2929 W 83rd St, 60652",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.69601208,41.74251663
POINT (-87.68779954321866 41.79327214337314),609842,CARSON,"5516 S Maplewood Ave, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68779954,41.79327214
POINT (-87.62245275191152 41.78982790446188),609844,CARTER,"5740 S Michigan Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.62245275,41.78982791
POINT (-87.59951563220227 41.65370211546621),609845,"CARVER, G","901 E 133rd Pl, 60827",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.59951563,41.65370212
POINT (-87.60647384691308 41.65740496962151),609848,ALDRIDGE,"630 E 131st St, 60827",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.60647385,41.65740497
POINT (-87.70321548828544 41.6873470545929),609849,CASSELL,"11314 S Spaulding Ave, 60655",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70321549,41.68734706
POINT (-87.65097986936915 41.952809511187816),609850,GREELEY,"832 W Sheridan Rd, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65097987,41.95280951
POINT (-87.6952593685406 41.866435251350666),609851,CHALMERS,"2745 W Roosevelt Rd, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.69525937,41.86643525
POINT (-87.68326359190789 41.97589429991424),609852,CHAPPELL,"2135 W Foster Ave, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68326359,41.9758943
POINT (-87.69456225149781 41.91799265283444),609853,CHASE,"2021 N Point St, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.69456225,41.91799265
POINT (-87.68893676245328 41.89671268815487),609854,CHOPIN,"2450 W Rice St, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68893676,41.89671269
POINT (-87.68560700306816 41.80165862417512),609855,CHRISTOPHER,"5042 S Artesian Ave, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.685607,41.80165862
POINT (-87.54461359769068 41.654558148396525),609856,CLAY,"13231 S Burley Ave, 60633",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5446136,41.65455815
POINT (-87.70644252546367 41.95204212082533),609857,CLEVELAND,"3121 W Byron St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70644253,41.95204212
POINT (-87.69835995432015 41.99254135950569),609859,CLINTON,"6110 N Fairfield Ave, 60659",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.69835995,41.99254136
POINT (-87.6808967872205 41.693026005644974),609861,CLISSOLD,"2350 W 110th Pl, 60643",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68089679,41.69302601
POINT (-87.56596977182141 41.74141280641801),609862,COLES,"8441 S Yates Blvd, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.56596977,41.74141281
POINT (-87.681938049323 41.89956577485199),609863,COLUMBUS,"1003 N Leavitt St, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68193805,41.89956578
POINT (-87.65977458980146 41.74523702141981),609864,COOK,"8150 S Bishop St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65977459,41.74523702
POINT (-87.67776251685315 42.01708759096721),609865,JORDAN,"7414 N Wolcott Ave, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67776252,42.01708759
POINT (-87.68376530076175 41.95555319469823),609866,COONLEY,"4046 N Leavitt St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6837653,41.9555532
POINT (-87.66722708445998 41.85603119195194),609867,COOPER,"1624 W 19th St, 60608",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.66722708,41.85603119
POINT (-87.65716920537632 41.78468086054669),609869,LANGFORD,"6010 S Throop St, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65716921,41.78468086
POINT (-87.73119286568263 41.84560242144964),609870,CORKERY,"2510 S Kildare Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.73119287,41.84560242
POINT (-87.6856765978834 41.688190837411916),609871,VICK,"2554 W 113th St, 60655",ES,PK,District,-87.6856766,41.68819084
POINT (-87.65798012769622 41.85602872248889),609872,PEREZ,"1241 W 19th St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65798013,41.85602872
POINT (-87.71247015061276 41.85266348767926),609873,CROWN,"2128 S Saint Louis Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.71247015,41.85266349
POINT (-87.84104144264982 41.973714776786956),609874,DIRKSEN,"8601 W Foster Ave, 60656",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.84104144,41.97371478
POINT (-87.70541291384822 41.923322716802375),609875,DARWIN,"3116 W Belden Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70541291,41.92332272
POINT (-87.70020216026171 41.82185161377397),609876,"DAVIS, N","3014 W 39th Pl, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70020216,41.82185162
POINT (-87.71735342363266 41.74507775134669),609879,DAWES,"3810 W 81st Pl, 60652",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.71735342,41.74507775
POINT (-87.7046185932244 42.00928855699754),609880,DECATUR,"7030 N Sacramento Ave, 60645",ES,"K, 1, 2, 3, 4, 5, 6",District,-87.70461859,42.00928856
POINT (-87.62334458926513 41.76249026346902),609883,DENEEN,"7240 S Wabash Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.62334459,41.76249026
POINT (-87.81313152528315 41.94255166950198),609884,DEVER,"3436 N Osceola Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.81313152,41.94255167
POINT (-87.6426515784289 41.79564568303255),609885,DEWEY,"5415 S Union Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.64265158,41.79564568
POINT (-87.6099788745453 41.74366924135812),609887,DIXON,"8306 S Saint Lawrence Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.60997888,41.74366924
POINT (-87.70379373490441 41.88918417490289),609888,DODGE,"431 N Troy St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70379374,41.88918418
POINT (-87.61227454299049 41.83112062833841),609891,DOOLITTLE,"535 E 35th St, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.61227454,41.83112063
POINT (-87.78760442131032 41.78095446341107),609893,DORE,"6108 S Natoma Ave, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.78760442,41.78095446
POINT (-87.6285534465876 41.84404331209266),609894,DRAKE,"2710 S Dearborn St, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.62855345,41.84404331
POINT (-87.63016447885606 41.725609215693005),609895,TURNER-DREW,"9300 S Princeton Ave, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.63016448,41.72560922
POINT (-87.67449459893486 41.915913801094945),609896,DRUMMOND,"1845 W Cortland St, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6744946,41.9159138
POINT (-87.67554666012475 41.78122517253027),609897,EARLE,"2040 W 62nd St, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67554666,41.78122517
POINT (-87.70795263348174 41.774420451594345),609898,EBERHART,"3400 W 65th Pl, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70795263,41.77442045
POINT (-87.81116978485632 42.004407921137776),609899,EBINGER,"7350 W Pratt Ave, 60631",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.81116978,42.00440792
POINT (-87.6216526075813 41.68541839968939),609900,CURTIS,"32 E 115th St, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.62165261,41.6854184
POINT (-87.7618404744351 41.99943683277353),609901,EDGEBROOK,"6525 N Hiawatha Ave, 60646",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.76184047,41.99943683
POINT (-87.63430552125133 41.669444022412314),609902,METCALFE,"12339 S Normal Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.63430552,41.66944402
POINT (-87.72585617790203 41.805541539105775),609903,EDWARDS,"4815 S Karlov Ave, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.72585618,41.80554154
POINT (-87.76658937771538 41.88552957975924),609904,ELLINGTON,"243 N Parkside Ave, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.76658938,41.88552958
POINT (-87.7158044315032 41.87574412263659),609907,ERICSON,"3600 W 5th Ave, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.71580443,41.87574412
POINT (-87.66915866999116 41.68941960556063),609908,ESMOND,"1865 W Montvale Ave, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.66915867,41.68941961
POINT (-87.68131030372447 41.83155516065107),609909,EVERETT,"3419 S Bell Ave, 60608",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.6813103,41.83155516
POINT (-87.74933062514465 41.93578457297129),609910,FALCONER,"3020 N Lamon Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.74933063,41.93578457
POINT (-87.7660716581908 41.979790054887566),609912,FARNSWORTH,"5414 N Linder Ave, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.76607166,41.97979006
POINT (-87.64041364558067 41.71118362225583),609917,FERNWOOD,"10041 S Union Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.64041365,41.71118362
POINT (-87.66998540067715 42.00966385468162),609918,FIELD,"7019 N Ashland Ave, 60626",ES,"4, 5, 6, 7, 8",District,-87.6699854,42.00966386
POINT (-87.60863289647321 41.78518281585605),609919,FISKE,"6020 S Langley Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6086329,41.78518282
POINT (-87.70511207710514 41.85077148359955),609920,KANOON,"2233 S Kedzie Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70511208,41.85077148
POINT (-87.69600587942459 41.847947431747436),609921,TELPOCHCALLI,"2832 W 24th Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.69600588,41.84794743
POINT (-87.75684290297947 41.92015004630977),609922,BELMONT-CRAGIN,"5252 W Palmer St, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7568429,41.92015005
POINT (-87.65548116090856 41.72967267412901),609924,FORT DEARBORN,"9025 S Throop St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.65548116,41.72967268
POINT (-87.70216290437963 41.87016771714874),609925,KELLMAN,"3030 W Arthington St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7021629,41.87016772
POINT (-87.63551281031579 41.90659998946294),609926,FRANKLIN,"225 W Evergreen Ave, 60610",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.63551281,41.90659999
POINT (-87.66809931234333 41.73842547724147),609927,FOSTER PARK,"8530 S Wood St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.66809931,41.73842548
POINT (-87.61178404265375 41.81800340293327),609928,FULLER,"4214 S St Lawrence Ave, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.61178404,41.8180034
POINT (-87.66843588180264 41.797580270019274),609929,FULTON,"5300 S Hermitage Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.66843588,41.79758027
POINT (-87.71689166480509 41.91761651373583),609930,FUNSTON,"2010 N Central Park Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.71689166,41.91761651
POINT (-87.67193897621 42.02109055717383),609933,GALE,"1631 W Jonquil Ter, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67193898,42.02109056
POINT (-87.53517530585388 41.70680099884353),609935,GALLISTEL,"10347 S Ewing Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.53517531,41.706801
POINT (-87.79623511407263 41.976351663260274),609937,GARVY,"5225 N Oak Park Ave, 60656",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.79623511,41.97635166
POINT (-87.71869663582645 41.83706515120611),609938,GARY,"3740 W 31st St, 60623",ES,"PK, 3, 4, 5, 6, 7, 8",District,-87.71869664,41.83706515
POINT (-87.62371943750111 41.72533227855046),609939,GILLESPIE,"9301 S State St, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.62371944,41.72533228
POINT (-87.67596551356017 41.76061412672374),609941,RANDOLPH,"7316 S Hoyne Ave, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67596551,41.76061413
