the_geom,SCHOOL_ID,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.6833013465923 41.87694744316895),610561,CRANE MEDICAL PREP HS,"2245 W Jackson Blvd, 60612",HS,"9, 10",District,-87.68330135,41.87694744
POINT (-87.6775413678762 41.80841254258602),610563,BACK OF THE YARDS HS,"2111 W 47th St, 60609",HS,"9, 10",District,-87.67754137,41.80841254
POINT (-87.72136351133383 41.95248766939361),610564,DISNEY II MAGNET HS,"3900 N Lawndale Ave, 60618",HS,"7, 8, 9, 10",District,-87.72136351,41.95248767
POINT (-87.64912434695815 41.763895973300585),610565,EXCEL ACADEMY - ENGLEWOOD HS,"7141 S Morgan St, 60621",HS,"9, 10, 11",Contract,-87.64912435,41.76389597
POINT (-87.70660367604683 41.86647785082858),610566,MAGIC JOHNSON ACADEMY- NORTH LAWNDALE HS,"3222 W Roosevelt Rd, 60624",HS,"9, 10, 11, 12",ALOP,-87.70660368,41.86647785
POINT (-87.64269696865162 41.69515983901628),610567,MAGIC JOHNSON ACADEMY- ROSELAND HS,"10928 S. Halsted Ave, 60661",HS,"9, 10",ALOP,-87.64269697,41.69515984
POINT (-87.70520632190492 41.939433209108394),610568,PATHWAYS IN EDUCATION - AVONDALE HS,"3100 W Belmont Ave, 60618",HS,"9, 10, 11, 12",ALOP,-87.70520632,41.93943321
POINT (-87.80668177211628 42.017171238947576),610569,OMBUDSMAN - NORTHWEST HS,"7500 N Harlem Ave, 60631",HS,"9, 10, 11, 12",ALOP,-87.80668177,42.01717124
POINT (-87.68363453082763 41.78302658059831),610570,OMBUDSMAN - SOUTH HS,"6057 S. Western Ave, 60635",HS,9,ALOP,-87.68363453,41.78302658
POINT (-87.68784229509059 41.874672994282946),610571,OMBUDSMAN - WEST HS,"2401 W. Congress Pkwy, 60612",HS,"9, 10, 11, 12",ALOP,-87.68784229,41.874673
POINT (-87.57588303422331 41.75201588134547),610574,WINNIE MANDELA HS,"7847 S Jeffery Blvd, 60649",HS,"9, 10, 11, 12",ALOP,-87.57588303,41.75201588
POINT (-87.64628397532752 41.76872909036085),610582,MAGIC JOHNSON ACADEMY-ENGLEWOOD HS,"845 W. 69th Street, 60621",HS,"9, 10, 11, 12",ALOP,-87.64628398,41.76872909
POINT (-87.6878889934761 41.90292503117001),610580,MAGIC JOHNSON ACADEMY- HUMBOLDT PK HS,"2421 W. Division, 60622",HS,"9, 10, 11, 12",ALOP,-87.68788899,41.90292503
POINT (-87.55990690212751 41.74267138180483),400168,GREAT LAKES CHTR,"8401 S Saginaw Ave, 60617",ES,"K, 1",Charter,-87.5599069,41.74267138
POINT (-87.55051275982352 41.75311714101605),610572,CAMELOT SAFE ACADEMY ES,"7877 S Coles Ave, 60603",ES,"6, 7, 8",Safe,-87.55051276,41.75311714
POINT (-87.6464131367942 41.929849851985445),609774,ALCOTT ES,"2625 N Orchard St, 60614",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.64641314,41.92984985
POINT (-87.70018447219638 41.84774672194433),610184,SPRY ES,"2400 S Marshall Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70018447,41.84774672
POINT (-87.62929656939367 41.89997648907867),610101,OGDEN ES,"24 W Walton St, 60610",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9",District,-87.62929657,41.89997649
POINT (-87.73067837614433 41.95046050541308),610515,DISNEY II ES,"3815 N Kedvale Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9",District,-87.73067838,41.95046051
POINT (-87.5518035520084 41.75311490093142),610573,CAMELOT SAFE ACADEMY HS,"7877 S Coles Ave, 60603",HS,"9, 10, 11, 12",Safe,-87.55180355,41.7531149
