SCHOOL_ID,the_geom,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610213,POINT (-87.60098145770145 41.77347832108748),WADSWORTH,"6650 S ELLIS AVE, 60637",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60098146,41.77347832
610215,POINT (-87.70506349901873 41.84092947477637),MADERO,"3202 W 28TH ST, 60623",MS,"6, 7, 8","District, non-alternative",-87.7050635,41.84092948
610216,POINT (-87.64812287126006 41.85483515176224),WALSH,"2015 S PEORIA ST, 60608",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64812287,41.85483515
610217,POINT (-87.63539247674137 41.843979425202356),"WARD, J","2701 S SHIELDS AVE, 60616",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63539248,41.84397943
610218,POINT (-87.5753891748772 41.72676239720553),WARREN,"9239 S JEFFERY AVE, 60617",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.57538917,41.7267624
610219,POINT (-87.53601518617194 41.68815892491478),"WASHINGTON, G","3611 E 114TH ST, 60617",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.53601519,41.68815893
610220,POINT (-87.69129575097844 41.964365972942865),WATERS,"4540 N CAMPBELL AVE, 60625",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69129575,41.96436597
610221,POINT (-87.72752509105129 41.86994329412222),WEBSTER,"4055 W ARTHINGTON ST, 60624",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72752509,41.86994329
610223,POINT (-87.65820406084654 41.76504845992893),WENTWORTH,"1340 W 71ST ST, 60636",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65820406,41.76504846
610225,POINT (-87.65542042083905 41.68390641254829),WHISTLER,"11533 S ADA ST, 60643",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65542042,41.68390641
610226,POINT (-87.710950671115 41.79234666762262),SANDOVAL,"5534 S ST LOUIS AVE, 60629",ES,"PE, PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.71095067,41.79234667
610227,POINT (-87.72558233066019 41.84007983457432),WHITNEY,"2815 S KOMENSKY AVE, 60623",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72558233,41.84007984
610228,POINT (-87.67339086459673 41.850453450771575),WHITTIER,"1900 W 23RD ST, 60608",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.67339086,41.85045345
610229,POINT (-87.67776177150952 41.90708043938563),PRITZKER,"2009 W SCHILLER ST, 60622",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.67776177,41.90708044
610230,POINT (-87.77831381944962 42.00750540069939),WILDWOOD,"6950 N HIAWATHA AVE, 60646",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.77831382,42.0075054
610231,POINT (-87.62930873942591 41.852827209142944),NATIONAL TEACHERS,"55 W CERMAK RD, 60616",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62930874,41.85282721
610234,POINT (-87.70031704309835 41.915037890659235),YATES,"1839 N RICHMOND ST, 60647",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70031704,41.91503789
610235,POINT (-87.76710612353881 41.90679133990063),YOUNG,"1434 N PARKSIDE AVE, 60651",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.76710612,41.90679134
610237,POINT (-87.62713784960644 41.809162187086166),BEETHOVEN,"25 W 47TH ST, 60609",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62713785,41.80916219
610238,POINT (-87.65298113960564 41.76536112119979),BOND,"7050 S MAY ST, 60621",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65298114,41.76536112
610239,POINT (-87.67216972896314 41.80234314173998),DALEY,"5024 S WOLCOTT AVE, 60609",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.67216973,41.80234314
610242,POINT (-87.64978592318764 41.959983608233635),BRENNEMANN,"4251 N CLARENDON AVE, 60613",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64978592,41.95998361
610244,POINT (-87.75332556771113 41.87291244196378),CLARK HS,"5101 W HARRISON ST, 60644",HS,"7, 8, 9, 10, 11, 12","District, non-alternative",-87.75332557,41.87291244
610245,POINT (-87.76770516944958 41.89036790589601),DOUGLASS HS,"543 N WALLER AVE, 60644",HS,"9, 10, 11, 12","District, non-alternative",-87.76770517,41.89036791
610246,POINT (-87.6257282441754 41.79846441803342),BEASLEY,"5255 S STATE ST, 60609",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62572824,41.79846442
610248,POINT (-87.77643154361535 41.94213773650901),CHGO ACAD ES,"3400 N AUSTIN AVE, 60634",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.77643154,41.94213774
610249,POINT (-87.69022417885297 41.79404867818119),TALMAN,"5450 S TALMAN AVE, 60632",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69022418,41.79404868
610250,POINT (-87.63372992103585 41.901389697958734),SALAZAR,"160 W WENDELL ST, 60610",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63372992,41.9013897
610251,POINT (-87.69918650807519 41.88292248494144),CATHER,"2908 W WASHINGTON BLVD, 60612",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69918651,41.88292249
610252,POINT (-87.6803158787571 41.87989725324825),DETT,"2131 W MONROE ST, 60612",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68031588,41.87989725
610254,POINT (-87.71574391716666 41.85891088692201),DVORAK TECH ACAD,"3615 W 16TH ST, 60623",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.71574392,41.85891089
610256,POINT (-87.59909936080332 41.81733672848805),ROBINSON,"4225 S LAKE PARK AVE, 60653",ES,"PE, PK, K, 1, 2, 3","District, non-alternative",-87.59909936,41.81733673
610257,POINT (-87.70506196604718 41.889286739241626),MORTON,"431 N TROY ST, 60612",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70506197,41.88928674
610263,POINT (-87.6172508362637 41.77989998378764),DULLES,"6311 S CALUMET AVE, 60637",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.61725084,41.77989998
610268,POINT (-87.60121103377703 41.74018301252928),ASHE,"8505 S INGLESIDE AVE, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60121103,41.74018301
610269,POINT (-87.65479521421223 41.9709485683438),MCCUTCHEON,"4865 N SHERIDAN RD, 60640",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65479521,41.97094857
610271,POINT (-87.70224061658628 41.87378750726368),JENSEN,"3030 W HARRISON ST, 60612",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70224062,41.87378751
610274,POINT (-87.70310206392668 41.861836848594415),JOHNSON,"1420 S ALBANY AVE, 60623",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70310206,41.86183685
610276,POINT (-87.61665461990088 41.81435775701362),MOLLISON,"4415 S DR MARTIN LUTHER KING JR DR, 60653",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.61665462,41.81435776
610279,POINT (-87.60675438996638 41.76067315418397),TANNER,"7350 S EVANS AVE, 60619",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60675439,41.76067316
610281,POINT (-87.55681870381267 41.76031546991943),POWELL,"7511 S SOUTH SHORE DR, 60649",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5568187,41.76031547
610282,POINT (-87.74673040241986 41.89779162840889),MCNAIR,"4820 W WALTON ST, 60651",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7467304,41.89779163
610284,POINT (-87.67316926416453 42.00773000281642),NEW FIELD,"1707 W MORSE AVE, 60626",ES,"PE, PK, K, 1, 2, 3","District, non-alternative",-87.67316926,42.00773
610287,POINT (-87.70957304512808 41.74235100755378),ASHBURN,"8300 S ST LOUIS AVE, 60652",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70957304,41.74235101
610290,POINT (-87.63724981274179 41.772709380524674),MAYS,"6656 S NORMAL BLVD, 60621",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63724981,41.77270938
610291,POINT (-87.72884764458752 41.77530608514162),LEE,"6448 S TRIPP AVE, 60629",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72884764,41.77530609
610293,POINT (-87.72466192393867 41.87882636813239),MELODY,"3937 W WILCOX ST, 60624",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72466192,41.87882637
610295,POINT (-87.64695744263803 41.68103203964508),HIGGINS,"11710 S MORGAN ST, 60643",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64695744,41.68103204
610297,POINT (-87.57968064758568 41.75619650091393),SCHOOL OF LEADRSHP HS,"7627 S CONSTANCE AVE, 60649",HS,12,"District, non-alternative",-87.57968065,41.7561965
610298,POINT (-87.62807699162437 41.74718511769878),LENART,"8101 S LA SALLE ST, 60620",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62807699,41.74718512
610299,POINT (-87.6413336822503 41.765307544651975),HINTON,"644 W 71ST ST, 60621",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64133368,41.76530755
610300,POINT (-87.6347512638679 41.748895661248476),WESTCOTT,"409 W 80TH ST, 60620",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63475126,41.74889566
610304,POINT (-87.68872394838384 41.87884780423051),PHOENIX MILITARY HS,"145 S CAMPBELL AVE, 60612",HS,"9, 10, 11, 12","District, non-alternative",-87.68872395,41.87884781
610305,POINT (-87.74923885096332 41.873587528071376),LELAND,"512 S LAVERGNE AVE, 60644",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.74923885,41.87358753
610308,POINT (-87.66943999589355 41.88356876703394),RUDOLPH,"110 N PAULINA ST, 60612",ES,"PE, PK, K, 1, 2, 3, 4, 5","District, Special Ed.",-87.66944,41.88356877
610312,POINT (-87.58959020364783 41.73315975042359),MCDOWELL,"1419 E 89TH ST, 60619",ES,"PE, PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.5895902,41.73315975
610313,POINT (-87.68579293038088 41.90529328777917),DIEGO,"1313 N CLAREMONT AVE, 60622",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68579293,41.90529329
610315,POINT (-87.65053774145026 41.67228196958566),WHITE,"1136 W 122ND ST, 60643",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65053774,41.67228197
610316,POINT (-87.58218088919993 41.72608002058175),EARHART,"1710 E 93RD ST, 60617",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.58218089,41.72608002
610317,POINT (-87.69211360529388 41.82389930145041),BRIGHTON PARK,"3825 S WASHTENAW AVE, 60632",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6921136,41.8238993
610319,POINT (-87.66785319501565 41.82935504974349),EVERGREEN,"3537 S PAULINA ST, 60609",MS,"6, 7, 8","District, non-alternative",-87.66785319,41.82935505
610321,POINT (-87.72028376234863 41.95198843578271),"MARSHALL, T","3900 N LAWNDALE AVE, 60618",MS,"7, 8","District, non-alternative",-87.72028376,41.95198844
610323,POINT (-87.5577592346045 41.73370609270685),BOWEN HS,"2710 E 89TH ST, 60617",HS,"9, 10, 11, 12","District, non-alternative",-87.55775923,41.73370609
610325,POINT (-87.70804004239572 41.93394276134011),LOGANDALE,"3212 W GEORGE ST, 60618",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70804004,41.93394276
610329,POINT (-87.67520985144336 41.85772737116127),OROZCO,"1940 W 18TH ST, 60608",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.67520985,41.85772737
610334,POINT (-87.71542384231678 41.88623749574124),RABY HS,"3545 W FULTON BLVD, 60624",HS,"9, 10, 11, 12","District, non-alternative",-87.71542384,41.8862375
610339,POINT (-87.64918004957251 41.758925261720385),STAGG,"7424 S MORGAN ST, 60621",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64918005,41.75892526
610340,POINT (-87.77643154361535 41.94213773650901),CHGO ACAD HS,"3400 N AUSTIN AVE, 60634",HS,"9, 10, 11, 12","District, non-alternative",-87.77643154,41.94213774
610342,POINT (-87.68304915730603 41.90678837405211),SABIN,"2216 W HIRSCH ST, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68304916,41.90678837
610345,POINT (-87.60838209117804 41.814499225277245),WOODSON,"4414 S EVANS AVE, 60653",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60838209,41.81449923
610347,POINT (-87.6810603943732 41.777483071526035),CLAREMONT,"2300 W 64TH ST, 60636",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68106039,41.77748307
610350,POINT (-87.57667957815038 41.72969180969286),BLACK,"9101 S EUCLID AVE, 60617",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.57667958,41.72969181
610352,POINT (-87.72999192083805 41.73884328116333),DURKIN PARK,"8445 S KOLIN AVE, 60652",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72999192,41.73884328
610353,POINT (-87.71165287681926 41.82434989119523),CALMECA,"3456 W 38TH ST, 60632",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.71165288,41.82434989
610354,POINT (-87.7071139760126 41.961721810699224),NORTH RIVER,"4416 N TROY ST, 60625",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70711398,41.96172181
610355,POINT (-87.66381619675366 41.96230796065631),COURTENAY,"4420 N BEACON ST, 60640",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6638162,41.96230796
610357,POINT (-87.6990540928824 41.84816154840842),SPRY HS,"2400 S MARSHALL BLVD, 60623",HS,"9, 10, 11, 12","District, non-alternative",-87.69905409,41.84816155
610362,POINT (-87.63934208852979 41.7156648233012),EVERS,"9811 S LOWE AVE, 60628",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63934209,41.71566482
