SCHOOL_ID,UNIT_ID,Short_Name,the_geom,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610098,5110,NOBEL,POINT (-87.72988124512409 41.90612859657917),4127 W HIRSCH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.72988125,41.9061286
400096,8077,NOBLE - BAIN NUSH,POINT (-87.66453430784325 41.895308846785284),1454 W SUPERIOR ST,ES,"K, 1, 2, 3, 4, 5",Charter,-87.66453431,41.89530885
400097,8078,NOBLE - BULLS,POINT (-87.67822888573464 41.878835727309124),2040 W ADAMS ST,HS,"9, 10",Charter,-87.67822889,41.87883573
400052,1935,NOBLE - COMER,POINT (-87.60201246933886 41.76403619408351),7200 S INGLESIDE AVE,HS,"9, 10",Charter,-87.60201247,41.76403619
400053,1933,NOBLE - GOLDER,POINT (-87.66453430784325 41.895308846785284),1454 W SUPERIOR ST,HS,"9, 10, 11",Charter,-87.66453431,41.89530885
400098,8079,NOBLE - MUCHIN,POINT (-87.62768613449995 41.882175786884694),1 N STATE ST,HS,9,Charter,-87.62768613,41.88217579
400051,1930,NOBLE - NOBLE STREET CHARTER HS,POINT (-87.66266492181502 41.90020676869836),1010 N NOBLE ST,HS,"9, 10, 11, 12",Charter,-87.66266492,41.90020677
400054,1931,NOBLE - PRITZKER,POINT (-87.73003824676098 41.91518699968185),4131 W CORTLAND ST,HS,"9, 10, 11, 12",Charter,-87.73003825,41.915187
400055,1932,NOBLE - RAUNER,POINT (-87.66096238191561 41.892396132010106),1337 W OHIO ST,HS,"9, 10, 11, 12",Charter,-87.66096238,41.89239613
400056,1934,NOBLE - ROWE-CLARK MATH AND SCIENCE ACADEMY MAROO*,POINT (-87.71806048313032 41.89533466884159),3645 W CHICAGO AVE,HS,"9, 10, 11",Charter,-87.71806048,41.89533467
400057,1936,NOBLE - UIC PREP,POINT (-87.67607206022903 41.86575481999043),1231 S DAMEN AVE,HS,"9, 10",Charter,-87.67607206,41.86575482
400058,1105,NORTH LAWNDALE CHARTER HS,POINT (-87.70802450720313 41.8584605326629),1616 S SPAULDING AVE,HS,"9, 10, 11, 12",Charter,-87.70802451,41.85846053
400059,1106,NORTH LAWNDALE COLLEGE PREP,POINT (-87.70201275590105 41.864181266456086),1313 S SACRAMENTO DR,HS,"9, 10, 11",Charter,-87.70201276,41.86418127
610354,7890,NORTH RIVER,POINT (-87.70718958849034 41.96177763927175),4416 N TROY ST,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70718959,41.96177764
609691,1140,NORTH-GRAND HS,POINT (-87.73528416541927 41.911700553308535),4338 W WABANSIA AVE,HS,"9, 10, 11, 12",High School,-87.73528417,41.91170055
609749,1740,NORTHSIDE HS,POINT (-87.70867414264275 41.98144239791368),5501 N KEDZIE AVE,HS,"9, 10, 11, 12",High School,-87.70867414,41.9814424
609744,1690,NORTHSIDE LEARNING HS,POINT (-87.72239374073065 41.98299987356086),3730 W BRYN MAWR AVE,HS,"9, 10, 11, 12",High School,-87.72239374,41.98299987
610051,4600,NORTHWEST,POINT (-87.75816603250237 41.92053894742294),5252 W PALMER ST,MS,"6, 7, 8",Elementary School,-87.75816603,41.92053895
610099,5120,NORWOOD PARK,POINT (-87.80296049790583 41.988203609200305),5900 N NINA AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.8029605,41.98820361
610101,5150,OGDEN,POINT (-87.6455364956881 41.90777350303464),1443 N OGDEN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6455365,41.9077735
610529,8083,OGDEN HS,POINT (-87.6592700339983 41.893577288906805),1250 W ERIE ST,HS,"6, 7, 8, 9",High School,-87.65927003,41.89357729
610102,5170,OGLESBY,POINT (-87.64550797616222 41.754744277752636),7646 S GREEN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64550798,41.75474428
610103,5180,OKEEFFE,POINT (-87.57284397100574 41.768650176181154),6940 S MERRILL AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.57284397,41.76865018
610104,5190,ONAHAN,POINT (-87.79301324783418 41.99381810362453),6634 W RAVEN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.79301325,41.9938181
610105,5200,ORIOLE PARK,POINT (-87.81208994961408 41.97854813385108),5424 N OKETO AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.81208995,41.97854814
610329,7610,OROZCO,POINT (-87.67514642864137 41.85778306948055),1940 W 18TH ST,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.67514643,41.85778307
610389,1830,ORR HIGH SCHOOL,POINT (-87.7262030484384 41.89444827748239),730 N PULASKI RD,HS,"9, 10, 11, 12",High School,-87.72620305,41.89444828
