SCHOOL_ID,Short_Name,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
400082,UNO CHTR-FUENTES,"2845 W BARRY AVE, 60618",POINT (-87.69959364902631 41.93747577599535),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69959365,41.93747578
400101,UNO CHTR  - SANDRA CISNEROS,"2744 W PERSHING RD, 60632",POINT (-87.69399615717815 41.822883739544494),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69399616,41.82288374
400085,UNO CHTR - MAJOR HECTOR P.GARCIA,"4248 W 47TH ST, 60632",POINT (-87.7303597071647 41.807867504500486),HS,"9, 10, 11, 12",Charter,-87.73035971,41.80786751
610506,TEAM HS,"6201 S STEWART AVE, 60621",POINT (-87.63497868085045 41.78150577705756),HS,"9, 10, 11, 12","District, non-alternative",-87.63497868,41.78150578
609921,TELPOCHCALLI,"2832 W 24TH BLVD, 60623",POINT (-87.69663084047832 41.84795090065948),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69663084,41.8479509
610504,THOMAS,"3625 S HOYNE AVE, 60609",POINT (-87.67754184885891 41.827774910972835),ES,PK,"District, Special Ed.",-87.67754185,41.82777491
610200,"THORP, J","8914 S BUFFALO AVE, 60617",POINT (-87.54447844467616 41.73332914610987),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.54447844,41.73332915
610201,"THORP, O","6024 W WARWICK AVE, 60634",POINT (-87.77763129835648 41.94857131237774),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7776313,41.94857131
610375,TILDEN AA,"4747 S UNION AVE, 60609",POINT (-87.6429664811512 41.8075100700515),HS,"9, 10",High School,-87.64296648,41.80751007
609735,TILDEN HS (&AA),"4747 S UNION AVE, 60609",POINT (-87.6429664811512 41.8075100700515),HS,"9, 10, 11, 12","District, non-alternative",-87.64296648,41.80751007
610065,TILL,"6543 S CHAMPLAIN AVE, 60637",POINT (-87.60935720865564 41.77542383996704),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60935721,41.77542384
610202,TILTON,"223 N KEELER AVE, 60624",POINT (-87.73056638342959 41.88410224305368),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.73056638,41.88410224
610203,TONTI,"5815 S HOMAN AVE, 60629",POINT (-87.70817918402426 41.78752323015683),ES,"K, 1, 2, 3, 4, 5","District, non-alternative",-87.70817918,41.78752323
610205,TRUMBULL,"5200 N ASHLAND AVE, 60640",POINT (-87.66972453187925 41.97619851402548),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.66972453,41.97619852
