School ID,School Short Name,School Name,Street Address,City,State,ZIP,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Longitude,Latitude,Location
609712,Hirsch HS,Emil G Hirsch Metropolitan High School,7740 S Ingleside Ave,Chicago,IL,60619,http://www.hirschmetro.org,South Side High School Network,South Side High School Network,Track E,Level 3,Yes,5,Far Below Average,41.9,39.1,45.6,42.5,Far Below Average,11.47,12.29,13.5,12.71,13,13.5,36.2,45.8,7.4,11.2,69.5,71.6,10.8,6.5,45.1,55.1,56.1,61.1,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,33.8,23.3,3.9,4.1,84.8,80.7,95.4,93.9,No,,,"1,183,865.127","1,853,710.216",-87.60176452,41.7537612,"(-87.60176452, 41.7537612)"
609682,Richards HS,Ellen H Richards Career Academy High School,5009 S Laflin St,Chicago,IL,60609,http://www.richardscareeracademy.org,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 2,Yes,17,Average,62.5,55.9,53.6,57.3,Far Below Average,11.99,12.89,14.8,12.53,14.15,14.8,57.3,64.8,1.5,0.4,63.5,80,5.5,8.8,43.1,52.1,48.6,64.8,Not Yet Organized,Very Weak,Neutral,Weak,Very Weak,Weak,Weak,12.4,36.5,4,6,90.6,85.8,95.7,95.3,Pending,,,"1,167,224.006","1,871,465.305",-87.66224052,41.80285552,"(-87.66224052, 41.80285552)"
610385,Multicultural Acad Scholarship,Multicultural Academy of Scholarship,3120 S Kostner Ave,Chicago,IL,60623,http://www.lvlhs.org,West Side High School Network,West Side High School Network,Track E,Level 2,No,0,Average,,57.3,52.1,54.8,Below Average,13.31,14.2,16.5,,14.54,16.5,58,57.5,5.8,4.5,78.7,94.6,21.1,21.9,58.5,50,51.6,71.1,Organized,Strong,Neutral,Neutral,Neutral,Strong,Neutral,38.5,57.7,3.2,2.4,89.2,91.9,96.7,95.7,No,,,"1,147,521.302","1,883,405.128",-87.73419465,41.83601953,"(-87.73419465, 41.83601953)"
609761,Corliss HS,George H Corliss High School,821 E 103rd St,Chicago,IL,60628,http://www.newcorlisshs.org,Far South Side High School Network,Far South Side High School Network,Standard,Level 3,Yes,11,Average,36.8,63.1,56.4,52.8,Far Below Average,11.94,12.91,14.7,12.36,12.95,14.7,42.8,45.5,14.1,7.1,76.2,60,10.6,11.9,44,50,58.9,64.2,Partially Organized,Neutral,Weak,Neutral,Neutral,Neutral,Weak,48.6,68.6,4.8,5.3,71.3,73.6,95.2,95.2,No,,,"1,183,649.971","1,836,810.314",-87.60307842,41.70739096,"(-87.60307842, 41.70739096)"
610499,Collins HS,Collins Academy High School,1313 S Sacramento Dr,Chicago,IL,60623,http://www.collinsacademyhs.org,AUSL Schools,West Side High School Network,Standard,Level 3,Yes,1,Below Average,41.6,51.6,54.3,49.4,Far Below Average,12.71,14.1,15.5,13.07,13.83,15.5,,70.5,2.9,2.3,70.4,62.9,20.5,14.5,,67.9,,,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,96.2,96.5,2.5,3.6,91.4,90.1,96.6,96,No,,,"1,156,217.24","1,893,722.861",-87.70200761,41.86416169,"(-87.70200761, 41.86416169)"
609728,Roosevelt HS,Theodore Roosevelt High School,3436 W Wilson Ave,Chicago,IL,60625,http://www.rhsroughriders.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,9,Far Below Average,29.2,46.9,44.5,39.3,Far Below Average,13.27,14.14,15.2,13.64,15.19,15.2,59.4,54.2,10.9,7.5,61.2,61.3,13.7,18.5,42.9,46.6,73,74.6,Partially Organized,Weak,Neutral,Neutral,Weak,Neutral,Neutral,91.5,93.6,2.1,3.1,82.3,85.2,96.1,95.8,No,,,"1,152,459.778","1,930,390.229",-87.71483051,41.96485522,"(-87.71483051, 41.96485522)"
609722,Manley HS,Manley Career Academy High School,2935 W Polk St,Chicago,IL,60612,http://www.manleyhighschool.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,17,Above Average,57.8,54.3,66.2,60.3,Far Below Average,12.58,12.97,14.7,12.29,13.6,14.7,49,50.6,10.7,14,59.3,49.5,6.7,8.1,51.9,53,43.2,62.5,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,29,67,2.4,2.9,66.8,71.6,95.4,94.7,No,,,"1,156,776.858","1,896,186.78",-87.69988652,41.87091163,"(-87.69988652, 41.87091163)"
609751,King HS,Dr  Martin Luther King  Jr  College Prep HS,4445 S Drexel Blvd,Chicago,IL,60653,http://www.kingcollegeprep.org,South Side High School Network,South Side High School Network,Standard,Level 1,No,0,Below Average,50,52.9,,51.5,Average,17.47,18.12,20.9,17.56,18.86,20.9,75.4,85.4,2.3,2,91.1,87.5,31.9,40.2,85.1,81.1,85.1,80.1,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,40.7,17.4,3.4,3.6,92.9,92.6,96.3,95.9,No,,,"1,183,114.175","1,875,544.787",-87.60383761,41.81369471,"(-87.60383761, 41.81369471)"
609708,Foreman HS,Edwin G Foreman High School,3235 N LeClaire Ave,Chicago,IL,60641,http://www.foremanhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,Yes,5,Average,46.9,64.3,54.3,55,Far Below Average,13,13.71,15.4,13.19,14.07,15.4,59.7,58.5,6.8,3.1,75.6,68.7,12.5,14.6,40.9,40.8,67.2,63,Not Yet Organized,Weak,Weak,Weak,Neutral,Weak,Weak,36.9,35.2,2.7,3.7,84.3,82.1,94.8,95.2,No,,,"1,141,833.359","1,921,189.138",-87.7541302,41.93981043,"(-87.7541302, 41.93981043)"
609676,Dunbar HS,Paul Laurence Dunbar Career Academy High School,3000 S King Dr,Chicago,IL,60616,http://www.dunbarhs.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,12,Average,44.1,59,58.6,53.4,Far Below Average,12.86,13.78,14.8,12.54,13.76,14.8,61.7,72,2.9,2.7,65.7,70.2,6.9,7.8,51.5,67.7,61.5,61.3,Partially Organized,Neutral,Weak,Weak,Neutral,Neutral,Weak,50.6,46.9,3.7,4,76.9,80.1,96,95.6,No,,,"1,179,262.097","1,885,167.032",-87.61767315,41.84018775,"(-87.61767315, 41.84018775)"
610392,World Language HS,World Language Academy High School,3120 S Kostner Ave,Chicago,IL,60623,http://wl.lvlhs.org,West Side High School Network,West Side High School Network,Track E,Level 3,Yes,1,Above Average,64.2,59.3,,61.3,Below Average,12.85,14.28,16.4,13.49,14.27,16.4,69.4,62.8,3.8,1.9,76,58.5,14.6,15.2,48.1,53.8,70.3,83.9,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,43.5,61.4,3.5,5.5,91.6,93.4,96,95.2,No,,,"1,147,521.302","1,883,405.128",-87.73419465,41.83601953,"(-87.73419465, 41.83601953)"
609740,Wells HS,Wells Community Academy High School,936 N Ashland Ave,Chicago,IL,60622,http://www.wellshighschoolchicago.org,West Side High School Network,West Side High School Network,Standard,Level 2,No,0,Average,54.8,62,53.1,56.6,Far Below Average,13.24,13.56,15.1,12.72,13.71,15.1,59.3,54.1,14.6,11.9,61.3,69,7.2,6.9,43.8,36.7,55.9,60,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,94.2,72.8,2.1,2.5,74.1,81.3,96.2,96.3,Pending,,,"1,165,512.916","1,906,490.72",-87.66751989,41.89900506,"(-87.66751989, 41.89900506)"
609702,Crane HS,Richard T Crane Technical Preparatory HS,2245 W Jackson Blvd,Chicago,IL,60612,http://www.crane.groupfusion.net,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,11,Below Average,47.5,50,,48.8,Far Below Average,12.09,13.63,13.8,12.59,13.59,13.8,48,39.7,30.7,24,40.9,58.1,3.7,7.9,32.6,48.1,44.4,41.9,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Neutral,29.4,45,4.6,4.4,57.9,68.8,93.9,93.7,No,,,"1,161,290.138","1,898,611.918",-87.68324922,41.87747384,"(-87.68324922, 41.87747384)"
610334,Raby HS,Al Raby High School,3545 W Fulton Blvd,Chicago,IL,60624,http://www.alraby.org,West Side High School Network,West Side High School Network,Track E,Level 3,Yes,5,Below Average,43.8,49.3,54.9,49.4,Far Below Average,12.77,14.31,15.4,12.89,14.1,15.4,72.2,70.2,4.6,6.7,74.3,79.9,13.5,17.9,64.2,68.8,72,67.9,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,77.1,65.8,3.5,4,80.3,82.1,95.1,94.9,No,,,"1,152,512.295","1,901,720.85",-87.71539705,41.886183,"(-87.71539705, 41.886183)"
610244,Clark HS,Michele Clark Academic Prep Magnet High School,5101 W Harrison St,Chicago,IL,60644,http://www.micheleclark.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,4,Average,49.1,53.9,61.8,55.3,Below Average,14.03,14.46,16.4,13.67,14.66,16.4,87.4,76.6,3.7,4,78.2,78.7,13,11.1,60.4,75.8,62.4,64.2,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,69.8,82.7,3.8,4.3,79.1,89.6,95.4,95.8,No,,,"1,142,209.317","1,896,792.791",-87.75335467,41.87285714,"(-87.75335467, 41.87285714)"
610535,Mason HS,Mason High School,4217 W 18th St,Chicago,IL,60623,http://www.masonmavericks.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,1,Below Average,50,43.8,,46.4,Far Below Average,12.52,13.88,13.6,14,15.57,13.6,,,2.6,4.3,40.9,92.3,,15.4,,,,,Well-organized,Strong,Strong,Strong,Neutral,Neutral,Strong,50,50,2.9,3.2,90.4,87.2,,,No,,,"1,148,477.255","1,891,003.441",-87.73049117,41.85685194,"(-87.73049117, 41.85685194)"
610501,Austin Poly HS,Austin Polytechnical Academy High School,231 N Pine Ave,Chicago,IL,60644,http://austinpolytech.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,3,Average,52.4,51.7,59.3,54.5,Far Below Average,12.21,13.39,14.6,11.82,13.69,14.6,,65.3,1.1,18.5,56.1,52.2,8.5,8.8,,57.7,,,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,57.4,48.3,2.9,2.5,70.1,68.5,95.2,94.7,No,,,"1,139,494.763","1,901,274.258",-87.76321191,41.88520477,"(-87.76321191, 41.88520477)"
