School ID,School Short Name,School Name,Street Address,City,State,ZIP,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Longitude,Latitude,Location
610384,Infinity HS,Infinity Math Science and Technology High School,3120 S Kostner Ave,Chicago,IL,60623,http://www.lvlhs.org,West Side High School Network,West Side High School Network,Track E,Level 1,No,0,Far Above Average,84.3,78.6,52.9,73,Below Average,14.09,15.39,17.4,15.15,16.73,17.4,84.4,81.2,0.3,0.8,98.1,99.1,29,22.7,55.7,62.7,87,66.7,Well-organized,Strong,Strong,Strong,Very Strong,Strong,Strong,78.4,82.8,5.3,4.8,92.2,93.5,96,95.6,No,,,"1,147,521.302","1,883,405.128",-87.73419465,41.83601953,"(-87.73419465, 41.83601953)"
609679,Prosser HS,Charles Allen Prosser Career Academy High School,2148 N Long Ave,Chicago,IL,60639,http://www.prosseracademy.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Average,53.6,60.5,62.7,58.7,Below Average,15.47,16.26,17.9,15.61,16.05,17.9,78.7,82.6,3.5,3.9,79.4,79.7,27.7,31.3,58,57,68.8,69.1,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Neutral,74,46.4,4.9,3.1,86,85.3,94.4,94.9,No,,,"1,139,989.443","1,913,970.649",-87.76108432,41.92003613,"(-87.76108432, 41.92003613)"
609764,Juarez HS,Benito Juarez Community Academy High School,2150 S Laflin St,Chicago,IL,60608,http://www.benitojuarez.net,West Side High School Network,West Side High School Network,Standard,Level 2,Yes,10,Average,61.4,53.3,,57.8,Below Average,13.5,14.77,16.4,13.98,15.33,16.4,56.2,68.8,7.2,5.5,71.1,84,14.8,17.6,48.8,47.2,69.9,70.4,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,86.6,62.4,3.8,4.2,83.7,87.2,95.8,96,Pending,,,"1,166,665.696","1,889,615.348",-87.66376931,41.85267306,"(-87.66376931, 41.85267306)"
610506,Team HS,TEAM Englewood Community Academy High School,6201 S Stewart Ave,Chicago,IL,60621,http://www.teamenglewood.org,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 3,Yes,3,Average,76.6,44.3,52.3,58.7,Far Below Average,12.04,13.3,14.5,12.81,13.79,14.5,,73.9,3,1.7,77.4,83.9,7.9,3.6,,57.9,,,Organized,Neutral,Neutral,Neutral,Strong,Strong,Weak,48,87,2.7,2.6,87.3,85.6,96.5,96.1,No,,,"1,174,730.35","1,863,740.125",-87.63494163,41.7814927,"(-87.63494163, 41.7814927)"
609719,Lake View HS,Lake View High School,4015 N Ashland Ave,Chicago,IL,60613,http://www.lakeviewhs.com,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 1,No,0,Average,53.5,56.1,,54.9,Below Average,15.34,16.94,18.6,15.89,16.95,18.6,81.4,83.2,1.4,1.8,87.3,92,36.6,39.3,62.8,66.1,73,68.3,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Strong,80.3,77.3,3.1,2.3,87.7,88.7,96.2,96.2,Pending,,,"1,164,975.217","1,926,813.581",-87.66891643,41.95478361,"(-87.66891643, 41.95478361)"
609730,Senn HS,Nicholas Senn High School,5900 N Glenwood Ave,Chicago,IL,60660,http://www.sennhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,Yes,9,Above Average,62.7,69.6,56,63.5,Below Average,13.35,14.14,16.5,14.2,14.53,16.5,40.1,47.9,12.8,9.2,79.8,82.8,17.5,14.2,54.4,50.7,80.2,69.4,Organized,Neutral,Neutral,Strong,Strong,Neutral,Neutral,15.5,18,2.5,2.4,81.7,86.3,96.4,96.7,Pending,,,"1,165,871.81","1,939,308.369",-87.66526222,41.98905063,"(-87.66526222, 41.98905063)"
610357,Spry HS,Spry Community Links High School,2400 S Marshall Blvd,Chicago,IL,60623,http://www.comlinkshs.org,West Side High School Network,West Side High School Network,Standard,Level 2,No,0,Below Average,61.3,40.6,,50.8,Below Average,14.32,15.91,17.5,14.67,16.16,17.5,73.7,87.1,2.1,0.8,92.8,100,35,39.6,65.2,52.6,,68.8,Well-organized,Neutral,Strong,Very Strong,Strong,Neutral,Strong,46.9,24.5,2.5,3.5,95.6,94,95.7,96.6,No,,,"1,157,044.911","1,887,895.675",-87.69912725,41.84815451,"(-87.69912725, 41.84815451)"
609710,Harlan HS,John M Harlan Community Academy High School,9652 S Michigan Ave,Chicago,IL,60628,http://www.harlanfalcons.org,Far South Side High School Network,Far South Side High School Network,Standard,Level 3,Yes,17,Average,55.2,54.1,53.7,54.2,Far Below Average,13.52,13.75,15.1,12.82,13.67,15.1,47.9,48.3,12.6,10.3,64.4,43.9,5.9,8.2,55.7,58,63.9,60.9,Not Yet Organized,Weak,Weak,Neutral,Weak,Weak,Weak,30.8,33,4.3,4.5,81.2,70.5,94.4,95.3,No,,,"1,178,815.804","1,840,781.935",-87.62066069,41.71840075,"(-87.62066069, 41.71840075)"
609725,Morgan Park HS,Morgan Park High School,1744 W Pryor Ave,Chicago,IL,60643,http://www.morganparkcps.org,Far South Side High School Network,Far South Side High School Network,Track E,Level 3,Yes,1,Average,52.2,54.7,64.3,57.1,Below Average,14.63,15.89,18.1,14.62,16.08,18.1,80,80.4,1.9,3.8,73.3,63.4,33.6,24.7,78.5,77.1,79.1,73.5,Partially Organized,Neutral,Weak,Neutral,Weak,Neutral,Weak,38.1,46.1,4,4.5,84.2,83,94.6,95,No,,,"1,166,609.57","1,831,085.382",-87.66564309,41.69206041,"(-87.66564309, 41.69206041)"
610304,Phoenix Military HS,Phoenix Military Academy High School,145 S Campbell Ave,Chicago,IL,60612,http://www.phoenixmilitary.org,West Side High School Network,West Side High School Network,Standard,Level 2,No,0,Above Average,56.5,72.7,52.2,61.9,Below Average,15.04,15.88,18.9,15.39,16.6,18.9,74.8,77.8,0.7,3.6,74.1,81.6,33.9,34.9,51.3,46.6,,54.3,Well-organized,Strong,Strong,Very Strong,Very Strong,Strong,Neutral,87.4,94.8,1.8,1.9,92.1,93.3,97.4,97.3,No,,,"1,159,815.389","1,899,102.492",-87.68865058,41.87885054,"(-87.68865058, 41.87885054)"
